City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,khorixas,-20.3667,14.9667,21.06,24,0,3.38,NA,1683612687
159,tabas,33.5959,56.9244,31.12,11,0,1.03,IR,1683612238
160,northam,51.0333,-4.2167,12.44,99,100,5.07,GB,1683612688
161,turpan,42.9333,89.1667,26.65,14,28,3.25,CN,1683612231
162,stanley,54.868,-1.6985,11.54,94,40,2.57,GB,1683612194
163,inirida,3.8653,-67.9239,23.47,96,100,0.68,CO,1683612688
164,kelibia,36.8476,11.0939,16.9,85,71,5.3,TN,1683612688
165,tura,25.5198,90.2201,36.67,18,43,3.68,IN,1683612199
166,cumberland,35.0502,-78.8664,23.28,83,0,4.12,US,1683612689
167,belmonte,-15.8631,-38.8828,23.49,91,21,2.65,BR,1683612689
168,borovskoy,53.8,64.15,10.9,29,100,5.69,KZ,1683612689
169,varena,54.2167,24.5667,10.65,45,1,1.92,LT,1683612689
170,howard springs,-12.497,131.047,32.12,45,22,4.26,AU,1683612198
171,holualoa,19.6228,-155.9522,22.1,93,35,2.24,US,1683612690
172,acarau,-2.8856,-40.12,24.62,91,29,3.8,BR,1683612098
173,undurkhaan,47.3194,110.6556,21.01,18,83,1.18,MN,1683612690
174,bikenibeu village,1.3673,173.1241,28.98,84,40,2.06,KI,1683612251
175,saurimo,-9.6608,20.3916,16.59,61,57,2.52,AO,1683612691
176,san andres,12.5847,-81.7006,28.01,78,20,4.12,CO,1683612455
177,shashemene,7.2,38.6,19.51,72,85,1.06,ET,1683612692
178,vila velha,-20.3297,-40.2925,22.75,98,75,1.03,BR,1683612050
179,dunedin,-45.8742,170.5036,11.0,97,100,3.13,NZ,1683612294
180,juye,35.3947,116.0883,25.21,24,77,3.65,CN,1683612692
181,mejit,10.2753,170.8646,27.13,82,99,6.42,MH,1683612287
182,xiuyan,40.2928,123.2744,22.21,22,33,5.03,CN,1683612693
183,touros,-5.1989,-35.4608,24.4,87,47,4.5,BR,1683611950
184,flin flon,54.7682,-101.865,11.76,56,19,1.35,CA,1683612294
185,kornik,52.2477,17.0895,11.16,67,6,5.73,PL,1683612693
186,poyang,28.9924,116.6675,23.67,51,6,1.91,CN,1683612694
187,nikolayevsk-on-amure,53.1406,140.73,5.69,62,95,5.54,RU,1683612262
188,taroa,8.7058,171.2275,27.58,83,100,5.41,MH,1683612296
189,silver city,32.7701,-108.2803,15.17,22,0,4.63,US,1683612694
190,chiras,35.4167,65.9823,12.84,9,0,1.93,AF,1683612694
191,port shepstone,-30.7414,30.455,18.19,79,58,1.8,ZA,1683612695
192,zouerate,22.7187,-12.4521,22.05,46,40,2.97,MR,1683612695
193,cachoeirinha,-29.9511,-51.0939,15.74,92,0,0.51,BR,1683612695
194,illapel,-31.6308,-71.1653,17.64,43,28,1.99,CL,1683612695
195,yuzhno-kurilsk,44.0306,145.8556,7.63,78,19,5.4,RU,1683612695
196,dudinka,69.4058,86.1778,-9.1,91,100,8.3,RU,1683612215
197,palikir - national government center,6.9248,158.1611,26.47,89,100,2.57,FM,1683612696
198,kerikeri,-35.2268,173.9474,18.28,97,99,2.1,NZ,1683612240
199,farafangana,-22.8167,47.8333,23.63,84,23,1.31,MG,1683612202
200,robertsport,6.7533,-11.3686,24.94,88,100,4.0,LR,1683612696
201,college,64.8569,-147.8028,2.08,96,29,1.22,US,1683612192
202,cabo san lucas,22.8909,-109.9124,23.12,58,12,5.75,MX,1683612001
203,chonchi,-42.6128,-73.8092,7.84,97,100,0.44,CL,1683612205
204,fale old settlement,-9.3852,-171.2468,29.19,76,13,6.77,TK,1683612199
205,sinop,41.7711,34.8709,9.24,94,91,1.43,TR,1683612697
206,broken hill,-31.95,141.4333,16.19,45,7,7.45,AU,1683612258
207,mount pearl,47.5166,-52.7813,6.03,96,100,7.2,CA,1683612203
208,kupino,54.3663,77.2981,13.36,36,100,4.53,RU,1683612698
209,dongargarh,21.2,80.7333,40.04,20,4,1.11,IN,1683612698
210,namibe,-15.1961,12.1522,22.57,78,29,1.0,AO,1683612195
211,magadan,59.5667,150.8,9.74,76,33,0.85,RU,1683612190
212,banda aceh,5.5577,95.3222,26.49,85,100,8.49,ID,1683612245
213,vorgashor,67.5833,63.95,-0.07,100,100,5.54,RU,1683612229
214,mponela,-13.5319,33.7401,15.05,62,39,3.13,MW,1683612699
215,mar del plata,-38.0023,-57.5575,11.72,89,0,2.57,AR,1683612699
216,tejupilco de hidalgo,18.9,-100.15,21.08,55,70,2.73,MX,1683612506
217,neiafu,-18.65,-173.9833,26.38,94,100,0.0,TO,1683612275
218,suncheon,34.9481,127.4895,23.32,37,28,1.72,KR,1683612700
219,yakeshi,49.2833,120.7333,16.03,22,23,7.82,CN,1683612700
220,dzhalagash,45.0833,64.6667,29.37,10,32,3.38,KZ,1683612700
221,uturoa,-16.7333,-151.4333,27.42,78,83,3.42,PF,1683612232
222,daxi,24.8837,121.2904,24.32,60,50,4.96,TW,1683612701
223,hanceville,34.0607,-86.7675,22.03,98,83,1.87,US,1683612701
224,saudarkrokur,65.7461,-19.6394,5.55,96,100,1.36,IS,1683612244
225,rubtsovsk,51.5,81.25,27.62,19,66,5.43,RU,1683612701
226,acapulco de juarez,16.8634,-99.8901,28.9,74,0,2.06,MX,1683612513
227,hilo,19.7297,-155.09,22.36,86,48,2.24,US,1683612227
